T,k,bid,ask
1.51951,-0.587785,0.392777,0.394955
1.51951,-0.507742,0.385927,0.387814
1.51951,-0.433634,0.380386,0.382233
1.51951,-0.364641,0.375981,0.37788
1.51951,-0.300103,0.372573,0.374457
1.51951,-0.239478,0.369902,0.371811
1.51951,-0.18232,0.367855,0.369615
1.51951,-0.128252,0.366314,0.367967
1.51951,-0.0769589,0.364353,0.367591
1.51951,-0.0769589,0.365124,0.36682
1.51951,-0.0281688,0.363735,0.366553
1.51951,0.0183512,0.363396,0.365856
1.51951,0.062803,0.363295,0.365436
1.51951,0.105363,0.363365,0.36526
1.51951,0.146185,0.363567,0.365303
1.51951,0.185405,0.363874,0.365531
1.51951,0.223146,0.36426,0.365832
1.51951,0.259513,0.364778,0.366301
1.51951,0.294605,0.365369,0.366884
1.51951,0.328506,0.366022,0.367581
1.51951,0.482657,0.369442,0.372894
1.51951,0.616188,0.373225,0.379773
1.76865,-1.00566,0.431,0.439676
1.76865,-0.887874,0.419827,0.425665
1.76865,-0.782513,0.409265,0.413675
1.76865,-0.687203,0.400949,0.403736
1.76865,-0.600192,0.393763,0.395689
1.76865,-0.520149,0.38774,0.389129
1.76865,-0.446041,0.38255,0.384243
1.76865,-0.377048,0.378361,0.380406
1.76865,-0.31251,0.375222,0.377159
1.76865,-0.251885,0.37281,0.37457
1.76865,-0.194727,0.370847,0.372596
1.76865,-0.140659,0.369266,0.371116
1.76865,-0.0893661,0.367191,0.370887
1.76865,-0.0893661,0.368049,0.370029
1.76865,-0.040576,0.366485,0.369859
1.76865,0.00594407,0.366051,0.369132
1.76865,0.0503958,0.36582,0.36866
1.76865,0.0929554,0.365809,0.368384
1.76865,0.133777,0.365941,0.368293
1.76865,0.172998,0.366171,0.368388
1.76865,0.210738,0.36643,0.368525
1.76865,0.247106,0.366819,0.368887
1.76865,0.282197,0.367293,0.369336
1.76865,0.316099,0.36786,0.36987
1.76865,0.47025,0.370636,0.374633
1.76865,0.603781,0.373072,0.382198
2.26694,-1.0311,0.426702,0.43307
2.26694,-0.913318,0.416778,0.421088
2.26694,-0.807958,0.407555,0.410751
2.26694,-0.712647,0.400028,0.402221
2.26694,-0.625636,0.39324,0.395284
2.26694,-0.545593,0.387271,0.389675
2.26694,-0.471485,0.382639,0.38516
2.26694,-0.402492,0.378858,0.381601
2.26694,-0.337954,0.375849,0.378657
2.26694,-0.277329,0.373521,0.376186
2.26694,-0.220171,0.371699,0.37413
2.26694,-0.166104,0.370252,0.372483
2.26694,-0.11481,0.367504,0.372751
2.26694,-0.11481,0.369114,0.371141
2.26694,-0.0660202,0.366806,0.371562
2.26694,-0.0195001,0.366354,0.370659
2.26694,0.0249516,0.366115,0.370004
2.26694,0.0675112,0.366059,0.369554
2.26694,0.108333,0.366122,0.369286
2.26694,0.147554,0.366287,0.369172
2.26694,0.185294,0.366444,0.369116
2.26694,0.221662,0.366725,0.369238
2.26694,0.256753,0.367045,0.369449
2.26694,0.290655,0.367396,0.369739
2.26694,0.444805,0.369144,0.3727
2.26694,0.578337,0.371544,0.377364
2.76523,-1.05741,0.418595,0.426754
2.76523,-0.939624,0.409666,0.416362
2.76523,-0.834264,0.401004,0.407456
2.76523,-0.738954,0.394848,0.399592
2.76523,-0.651942,0.389424,0.393067
2.76523,-0.5719,0.384486,0.387927
2.76523,-0.497792,0.380396,0.383848
2.76523,-0.428799,0.37728,0.380506
2.76523,-0.36426,0.37466,0.377837
2.76523,-0.303636,0.372502,0.375676
2.76523,-0.246477,0.370727,0.373929
2.76523,-0.19241,0.36926,0.372529
2.76523,-0.141117,0.366374,0.373107
2.76523,-0.141117,0.36806,0.37142
2.76523,-0.0923265,0.365676,0.371908
2.76523,-0.0458064,0.365199,0.370942
2.76523,-0.00135466,0.364886,0.370195
2.76523,0.0412049,0.364719,0.369634
2.76523,0.082027,0.364654,0.369231
2.76523,0.121248,0.364658,0.368967
2.76523,0.158988,0.36474,0.368261
2.76523,0.195356,0.364838,0.368265
2.76523,0.230447,0.364968,0.368355
2.76523,0.264348,0.36513,0.368516
2.76523,0.418499,0.366777,0.370169
2.76523,0.552031,0.368482,0.372857
3.28268,-1.08493,0.413799,0.421654
3.28268,-0.967143,0.405754,0.412642
3.28268,-0.861783,0.397694,0.405048
3.28268,-0.766473,0.392124,0.398344
3.28268,-0.679461,0.38746,0.392403
3.28268,-0.599419,0.383298,0.387617
3.28268,-0.525311,0.379874,0.383851
3.28268,-0.456318,0.377047,0.380828
3.28268,-0.391779,0.374853,0.378356
3.28268,-0.331155,0.372988,0.376342
3.28268,-0.273996,0.3714,0.37469
3.28268,-0.219929,0.370053,0.373333
3.28268,-0.168636,0.367477,0.373666
3.28268,-0.168636,0.368935,0.372207
3.28268,-0.119846,0.366628,0.372535
3.28268,-0.0733256,0.365964,0.371603
3.28268,-0.0288738,0.365467,0.370848
3.28268,0.0136858,0.365124,0.370251
3.28268,0.0545078,0.364902,0.369789
3.28268,0.0937286,0.364773,0.369447
3.28268,0.131469,0.36494,0.368041
3.28268,0.167836,0.364923,0.367944
3.28268,0.202928,0.36493,0.367942
3.28268,0.236829,0.364957,0.368019
3.28268,0.39098,0.366011,0.369232
3.28268,0.524511,0.367772,0.370988
4.27926,-1.13841,0.40665,0.414048
4.27926,-1.02063,0.400027,0.407993
4.27926,-0.915267,0.393364,0.401557
4.27926,-0.819957,0.388633,0.396255
4.27926,-0.732946,0.384928,0.391279
4.27926,-0.652903,0.38175,0.386965
4.27926,-0.578795,0.378827,0.383544
4.27926,-0.509802,0.376351,0.380836
4.27926,-0.445264,0.374492,0.378591
4.27926,-0.384639,0.372871,0.376763
4.27926,-0.327481,0.371437,0.375264
4.27926,-0.273414,0.370181,0.374024
4.27926,-0.22212,0.367151,0.374937
4.27926,-0.22212,0.369094,0.372991
4.27926,-0.17333,0.366343,0.373824
4.27926,-0.12681,0.365674,0.372876
4.27926,-0.0823583,0.365136,0.372079
